Name,  Ordered Qty,  Placed Qty,  Weight,  Gross,  Material,  Thickness, Length , Width, Area,,,,
---------------------------------------------------------------------------------------------------------,,,,,,,,
Z:\PROCESSO\E-2024\Ordem de serviço 1\ITEM 1\PROGRAMAÇÃO\IN.P.PE.010.01.CB.DFT,  1,  1,  22.45,  22.45,  ACO NBR 7008 ZC PRE PINTADA,  1.95,  2107.4 ,  696.9, 1.467 M²,,,,
Z:\PROCESSO\E-2024\Ordem de serviço 1\ITEM 1\PROGRAMAÇÃO\IN.P.PE.011.01.CB.DFT,  1,  1,  23.04,  23.04,  ACO NBR 7008 ZC PRE PINTADA,  1.95,  2107.4 ,  715.1, 1.505 M²,,,,
Z:\PROCESSO\E-2024\Ordem de serviço 1\ITEM 1\PROGRAMAÇÃO\IN.P.BA.024.01.BA.DFT,  2,  2,  5.20,  5.2,  ACO NBR 7008 ZC,  2.7,  1350 ,  188.8, 0.245 M²,,,,
Z:\PROCESSO\E-2024\Ordem de serviço 1\ITEM 1\PROGRAMAÇÃO\IN.P.BA.025.01.BA.DFT,  1,  1,  5.63,  5.63,  ACO NBR 7008 ZC,  2.7,  1329.4 ,  206.1, 0.266 M²,,,,
Z:\PROCESSO\E-2024\Ordem de serviço 1\ITEM 1\PROGRAMAÇÃO\IN.P.BA.026.01.BA.DFT,  1,  1,  3.63,  3.63,  ACO NBR 7008 ZC,  2.7,  1329.4 ,  131.4, 0.171 M²,,,,
Z:\PROCESSO\E-2024\Ordem de serviço 1\ITEM 1\PROGRAMAÇÃO\IN.P.BT.026.01.CB.DFT,  1,  1,  6.03,  6.03,  ACO NBR 7008 ZC PRE PINTADA,  1.95,  1350 ,  300, 0.394 M²,,,,
Z:\PROCESSO\E-2024\Ordem de serviço 1\ITEM 1\PROGRAMAÇÃO\IN.P.BT.027.01.CB.DFT,  2,  2,  0.54,  0.54,  ACO NBR 7008 ZC PRE PINTADA,  1.95,  593 ,  60, 0.036 M²,,,,
Z:\PROCESSO\E-2024\Ordem de serviço 1\ITEM 1\PROGRAMAÇÃO\IN.P.BT.024.01.CB.DFT,  1,  1,  1.50,  1.5,  ACO NBR 7008 ZC PRE PINTADA,  1.95,  1268 ,  78.3, 0.098 M²,,,,
Z:\PROCESSO\E-2024\Ordem de serviço 1\ITEM 1\PROGRAMAÇÃO\IN.P.BT.025.01.CB.DFT,  2,  2,  0.71,  0.71,  ACO NBR 7008 ZC PRE PINTADA,  1.95,  593 ,  78.3, 0.046 M²,,,,
Z:\PROCESSO\E-2024\Ordem de serviço 1\ITEM 1\PROGRAMAÇÃO\IN.P.CH.017.01.CB.DFT,  1,  1,  10.72,  10.72,  ACO NBR 7008 ZC PRE PINTADA,  1.95,  1350 ,  562.2, 0.701 M²,,,,
Z:\PROCESSO\E-2024\Ordem de serviço 1\ITEM 1\PROGRAMAÇÃO\IN.P.CH.018.01.CB.DFT,  1,  1,  2.85,  2.85,  ACO NBR 7008 ZC PRE PINTADA,  1.95,  1350 ,  202.5, 0.186 M²,,,,
Z:\PROCESSO\E-2024\Ordem de serviço 1\ITEM 1\PROGRAMAÇÃO\IN.P.CH.058.01.CB.DFT,  1,  1,  4.11,  4.11,  ACO NBR 7008 ZC PRE PINTADA,  1.95,  1416.9 ,  197.1, 0.269 M²,,,,
Z:\PROCESSO\E-2024\Ordem de serviço 1\ITEM 1\PROGRAMAÇÃO\IN.P.FE.017.01.BD.DFT,  1,  1,  0.82,  0.82,  ACO NBR 7008 ZC,  0.95,  1270 ,  90, 0.109 M²,,,,
Z:\PROCESSO\E-2024\Ordem de serviço 1\ITEM 1\PROGRAMAÇÃO\IN.P.FI.015.01.BB.DFT,  1,  1,  10.37,  10.37,  ACO NBR 7008 ZC,  1.95,  1372.4 ,  497.4, 0.678 M²,,,,
Z:\PROCESSO\E-2024\Ordem de serviço 1\ITEM 1\PROGRAMAÇÃO\IN.P.TL.010.01.CB.DFT,  2,  2,  19.12,  19.12,  ACO NBR 7008 ZC PRE PINTADA,  1.95,  1674.8 ,  759.8, 1.249 M²,,,,
Z:\PROCESSO\E-2024\Ordem de serviço 1\ITEM 1\PROGRAMAÇÃO\NP.P.FI.002.01.BB.DFT,  3,  3,  0.07,  0.07,  ACO NBR 7008 ZC,  1.95,  110 ,  40, 0.004 M²,,,,
Z:\PROCESSO\E-2024\Ordem de serviço 1\ITEM 1\PROGRAMAÇÃO\NP.P.SU.002.02.BB.DFT,  2,  2,  1.53,  1.53,  ACO NBR 7008 ZC,  1.95,  660 ,  162.3, 0.1 M²,,,,
Z:\PROCESSO\E-2024\Ordem de serviço 1\ITEM 1\PROGRAMAÇÃO\NP.P.SU.053.01.BB.DFT,  8,  8,  0.14,  0.14,  ACO NBR 7008 ZC,  1.95,  165 ,  57.4, 0.009 M²,,,,
Z:\PROCESSO\E-2024\Ordem de serviço 1\ITEM 1\PROGRAMAÇÃO\NP.P.BA.001.01.BB.DFT,  2,  2,  7.23,  7.23,  ACO NBR 7008 ZC,  1.95,  1048.1 ,  570, 0.473 M²,,,,
Z:\PROCESSO\E-2024\Ordem de serviço 1\ITEM 1\PROGRAMAÇÃO\NP.P.CH.001.01.BB.DFT,  2,  2,  14.47,  14.47,  ACO NBR 7008 ZC,  1.95,  1688.1 ,  570, 0.945 M²,,,,
Z:\PROCESSO\E-2024\Ordem de serviço 1\ITEM 1\PROGRAMAÇÃO\NP.P.CL.001.01.BB.DFT,  1,  1,  26.96,  26.96,  ACO NBR 7008 ZC,  1.95,  1792.4 ,  1030.6, 1.761 M²,,,,
Z:\PROCESSO\E-2024\Ordem de serviço 1\ITEM 1\PROGRAMAÇÃO\NP.P.CL.002.01.BB.DFT,  1,  1,  27.75,  27.75,  ACO NBR 7008 ZC,  1.95,  1792.4 ,  1030.6, 1.813 M²,,,,
Z:\PROCESSO\E-2024\Ordem de serviço 1\ITEM 1\PROGRAMAÇÃO\NP.P.FE.001.02.BB.DFT,  2,  2,  6.48,  6.48,  ACO NBR 7008 ZC,  0.95,  1610 ,  560, 0.869 M²,,,,
